title,risk_factor,abstract,cord_uid
"Neurological consultations and diagnoses in a large, dedicated COVID-19 university hospital.",neuro,"BACKGROUND More than one-third of COVID-19 patients present neurological symptoms ranging from anosmia to stroke and encephalopathy. Furthermore, pre-existing neurological conditions may require special treatment and may be associated with worse outcomes. Notwithstanding, the role of neurologists in COVID-19 is probably underrecognized. OBJECTIVE The aim of this study was to report the reasons for requesting neurological consultations by internists and intensivists in a COVID-19-dedicated hospital. METHODS This retrospective study was carried out at Hospital das Cl?nicas da Faculdade de Medicina da Universidade de S?o Paulo, Brazil, a 900-bed COVID-19 dedicated center (including 300 intensive care unit beds). COVID-19 diagnosis was confirmed by SARS-CoV-2-RT-PCR in nasal swabs. All inpatient neurology consultations between March 23rd and May 23rd, 2020 were analyzed. Neurologists performed the neurological exam, assessed all available data to diagnose the neurological condition, and requested additional tests deemed necessary. Difficult diagnoses were established in consensus meetings. After diagnosis, neurologists were involved in the treatment. RESULTS Neurological consultations were requested for 89 out of 1,208 (7.4%) inpatient COVID admissions during that period. Main neurological diagnoses included: encephalopathy (44.4%), stroke (16.7%), previous neurological diseases (9.0%), seizures (9.0%), neuromuscular disorders (5.6%), other acute brain lesions (3.4%), and other mild nonspecific symptoms (11.2%). CONCLUSIONS Most neurological consultations in a COVID-19-dedicated hospital were requested for severe conditions that could have an impact on the outcome. First-line doctors should be able to recognize neurological symptoms; neurologists are important members of the medical team in COVID-19 hospital care.",6q5wwo6v
Neurological manifestations and neuro??nvasive mechanisms of the severe acute respiratory syndrome coronavirus type 2,neuro,"INTRODUCTION: Infections with coronaviruses are not always confined to the respiratory tract and various neurological manifestations have been reported. The aim of this study was to perform a review to describe neurological manifestations in patients with COVID??9 and possible neuro??nvasive mechanisms of Sars??oV??. METHODS: Pubmed, WebOfScience and Covid??edicated databases were searched for the combination of COVID??9 terminology and neurology terminology up to May 10(th) 2020. Social media channels were followed??p between March 15(th) and May 10(th) 2020 for postings with the same scope. Neurological manifestations were extracted from the identified manuscripts and combined to provide a useful summary for the neurologist in clinical practice. RESULTS: Neurological manifestations potentially related to COVID??9 have been reported in large studies, case series and case reports and include acute cerebrovascular diseases, impaired consciousness, cranial nerve manifestations and auto??mmune disorders such as Guillain??arr? Syndrome often present in patients with more severe COVID??9. Cranial nerve symptoms such as olfactory and gustatory dysfunctions are highly prevalent in patients with mild??o??oderate COVID??9 even without associated nasal symptoms and often present in an early stage of the disease. CONCLUSION: Physicians should be aware of the neurological manifestations in patients with COVID??9, especially when rapid clinical deterioration occurs. The neurological symptoms in COVID??9 patients may be due to direct viral neurological injury or indirect neuroinflammatory and autoimmune mechanisms. No antiviral treatments against the virus or vaccines for its prevention are available and the long??erm consequences of the infection on human health remain uncertain especially with regards to the neurological system.",dx1n8jap
Neurological manifestations associated with COVID-19: a review and a call for action,neuro,"While the epidemic of Coronavirus disease 2019 (COVID-19) continues to spread globally, more and more evidences are collected about the presence of neurological manifestations and symptoms associated with it. A systematic review has been performed of papers published until 5 April 2020. 29 papers related to neurological manifestations associated with COVID-19 were examined. The results show presence of central and peripheral nervous system manifestations related to coronavirus. Neurological manifestations, or NeuroCOVID, are part of the COVID-19 clinical picture, but questions remain regarding the frequency and severity of CNS symptoms, the mechanism of action underlying neurological symptoms, and the relationship of symptoms with the course and severity of COVID-19. Further clinical, epidemiological, and basic science research is urgently needed to understand and address neurological sequalae of COVID-19. Concomitant risk factors or determinants (e.g. demographic factors, comorbidities, or available biomarkers) that may predispose a person with COVID-19 to neurological manifestations also need to be identified. The review shows that although more and more papers are reporting neurological manifestations associated with COVID-19; however, many items remain unclear and this uncertainty calls for a global action that requires close coordination and open-data sharing between hospitals, academic institutions and the fast establishment of harmonised research priorities and research consortia to face the NeuroCOVID-19 complications.",y5l7cf31
Neuropathogenesis of SARS-CoV-2 infection,neuro,"The COVID-19 pandemic caused by the SARS-CoV-2 has recently emerged as a serious jolt to human life and economy. Initial knowledge established pulmonary complications as the chief symptom, however, the neurological aspect of the disease is also becoming increasingly evident. Emerging reports of encephalopathies and similar ailments with the detection of the virus in the CSF has elicited an urgent need for investigating the possibility of neuroinvasiveness of the virus, which cannot be ruled out given the expression of low levels of ACE2 receptors in the brain. Sensory impairments of the olfactory and gustatory systems have also been reported in a large proportion of the cases, indicating the involvement of the peripheral nervous system. Hence, the possibility of neurological damage caused by the virus demands immediate attention and investigation of the mechanisms involved, so as to customize the treatment of patients presenting with neurological complications.",ca9oxl7f
Psychiatric and neuropsychiatric presentations associated with severe coronavirus infections: a systematic review and meta-analysis with comparison to the COVID-19 pandemic,neuro,"BACKGROUND: Before the COVID-19 pandemic, coronaviruses caused two noteworthy outbreaks: severe acute respiratory syndrome (SARS), starting in 2002, and Middle East respiratory syndrome (MERS), starting in 2012. We aimed to assess the psychiatric and neuropsychiatric presentations of SARS, MERS, and COVID-19. METHODS: In this systematic review and meta-analysis, MEDLINE, Embase, PsycINFO, and the Cumulative Index to Nursing and Allied Health Literature databases (from their inception until March 18, 2020), and medRxiv, bioRxiv, and PsyArXiv (between Jan 1, 2020, and April 10, 2020) were searched by two independent researchers for all English-language studies or preprints reporting data on the psychiatric and neuropsychiatric presentations of individuals with suspected or laboratory-confirmed coronavirus infection (SARS coronavirus, MERS coronavirus, or SARS coronavirus 2). We excluded studies limited to neurological complications without specified neuropsychiatric presentations and those investigating the indirect effects of coronavirus infections on the mental health of people who are not infected, such as those mediated through physical distancing measures such as self-isolation or quarantine. Outcomes were psychiatric signs or symptoms; symptom severity; diagnoses based on ICD-10, DSM-IV, or the Chinese Classification of Mental Disorders (third edition) or psychometric scales; quality of life; and employment. Both the systematic review and the meta-analysis stratified outcomes across illness stages (acute vs post-illness) for SARS and MERS. We used a random-effects model for the meta-analysis, and the meta-analytical effect size was prevalence for relevant outcomes, I2 statistics, and assessment of study quality. FINDINGS: 1963 studies and 87 preprints were identified by the systematic search, of which 65 peer-reviewed studies and seven preprints met inclusion criteria. The number of coronavirus cases of the included studies was 3559, ranging from 1 to 997, and the mean age of participants in studies ranged from 12?2 years (SD 4?1) to 68?0 years (single case report). Studies were from China, Hong Kong, South Korea, Canada, Saudi Arabia, France, Japan, Singapore, the UK, and the USA. Follow-up time for the post-illness studies varied between 60 days and 12 years. The systematic review revealed that during the acute illness, common symptoms among patients admitted to hospital for SARS or MERS included confusion (36 [27?9%; 95% CI 20?5-36?0] of 129 patients), depressed mood (42 [32?6%; 24?7-40?9] of 129), anxiety (46 [35?7%; 27?6-44?2] of 129), impaired memory (44 [34?1%; 26?2-42?5] of 129), and insomnia (54 [41?9%; 22?5-50?5] of 129). Steroid-induced mania and psychosis were reported in 13 (0?7%) of 1744 patients with SARS in the acute stage in one study. In the post-illness stage, depressed mood (35 [10?5%; 95% CI 7?5-14?1] of 332 patients), insomnia (34 [12?1%; 8?6-16?3] of 280), anxiety (21 [12?3%; 7?7-17?7] of 171), irritability (28 [12?8%; 8?7-17?6] of 218), memory impairment (44 [18?9%; 14?1-24?2] of 233), fatigue (61 [19?3%; 15?1-23?9] of 316), and in one study traumatic memories (55 [30?4%; 23?9-37?3] of 181) and sleep disorder (14 [100?0%; 88?0-100?0] of 14) were frequently reported. The meta-analysis indicated that in the post-illness stage the point prevalence of post-traumatic stress disorder was 32?2% (95% CI 23?7-42?0; 121 of 402 cases from four studies), that of depression was 14?9% (12?1-18?2; 77 of 517 cases from five studies), and that of anxiety disorders was 14?8% (11?1-19?4; 42 of 284 cases from three studies). 446 (76?9%; 95% CI 68?1-84?6) of 580 patients from six studies had returned to work at a mean follow-up time of 35?3 months (SD 40?1). When data for patients with COVID-19 were examined (including preprint data), there was evidence for delirium (confusion in 26 [65%] of 40 intensive care unit patients and agitation in 40 [69%] of 58 intensive care unit patients in one study, and altered consciousness in 17 [21%] of 82 patients who subsequently died in another study). At discharge, 15 (33%) of 45 patients with COVID-19 who were assessed had a dysexecutive syndrome in one study. At the time of writing, there were two reports of hypoxic encephalopathy and one report of encephalitis. 68 (94%) of the 72 studies were of either low or medium quality. INTERPRETATION: If infection with SARS-CoV-2 follows a similar course to that with SARS-CoV or MERS-CoV, most patients should recover without experiencing mental illness. SARS-CoV-2 might cause delirium in a significant proportion of patients in the acute stage. Clinicians should be aware of the possibility of depression, anxiety, fatigue, post-traumatic stress disorder, and rarer neuropsychiatric syndromes in the longer term. FUNDING: Wellcome Trust, UK National Institute for Health Research (NIHR), UK Medical Research Council, NIHR Biomedical Research Centre at University College London Hospitals NHS Foundation Trust and University College London.",853ipgea
SARS-CoV-2 infection of the nervous system: A review of the literature on neurological involvement in novel coronavirus disease-(COVID-19),neuro,"The novel coronavirus disease 2019 (COVID-19) is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which is believed to have emerged from an animal source and has been spreading rapidly among humans. Recent evidence shows that SARS-CoV-2 exhibits neurotropic properties and causes neurological diseases. Here, we review the literature on neurological involvement in SARS-CoV-2 infections and the possible mechanisms of invasion of the nervous system by this virus, to provide a summary and critical analysis of the early reporting of neurological involvement in COVID-19. An exhaustive search of scientific articles on neurological involvement in COVID-19 was performed in the Web of Science, Scopus, Medline/PubMed, and several other databases. Nineteen relevant articles that had been published or were in preprint were carefully selected according to the inclusion and exclusion criteria. Based on our research, we found that patients with COVID-19 can present with neurological symptoms that can be broadly divided into central nervous system involvement, such as headache, dizziness, altered mental state, and disorientation, and peripheral nervous system involvement, such as anosmia and hypogeusia. Most of these patients are in the older age group and exhibit comorbidities, especially hypertension, and severe infection. In extreme presentations of COVID-19, some patients exhibit seizures, stroke, flaccid paraparesis, corticospinal weakness, and even coma. Moreover, the neurological manifestations can occur independently of the respiratory system. In conclusion, SARS-CoV-2 infection can cause multiple neurological syndromes in a more complex presentation. Therefore, this review elucidated the involvement of the nervous system in SARS-CoV-2 infection and will hopefully help improve the management of COVID-19.",3n163duj
The S1P??1PR Axis in Neurological Disorders??nsights into Current and Future Therapeutic Perspectives,neuro,"Sphingosine 1-phosphate (S1P), derived from membrane sphingolipids, is a pleiotropic bioactive lipid mediator capable of evoking complex immune phenomena. Studies have highlighted its importance regarding intracellular signaling cascades as well as membrane-bound S1P receptor (S1PR) engagement in various clinical conditions. In neurological disorders, the S1P??1PR axis is acknowledged in neurodegenerative, neuroinflammatory, and cerebrovascular disorders. Modulators of S1P signaling have enabled an immense insight into fundamental pathological pathways, which were pivotal in identifying and improving the treatment of human diseases. However, its intricate molecular signaling pathways initiated upon receptor ligation are still poorly elucidated. In this review, the authors highlight the current evidence for S1P signaling in neurodegenerative and neuroinflammatory disorders as well as stroke and present an array of drugs targeting the S1P signaling pathway, which are being tested in clinical trials. Further insights on how the S1P??1PR axis orchestrates disease initiation, progression, and recovery may hold a remarkable potential regarding therapeutic options in these neurological disorders.",mshku2nf
Update on neurological manifestations of COVID-19,neuro,"Novel coronavirus (severe acute respiratory syndrome coronavirus-2: SARS-CoV-2) has a high homology with other cousin of coronaviruses such as SARS and Middle East respiratory syndrome-related coronavirus (MERS). After outbreak of the SARS-CoV-2 in China, it has spread so fast around the world. The main complication of coronavirus disease 2019 (COVID-19) is respiratory failure, but several patients have also been admitted to the hospital with neurological symptoms. Direct invasion, hematogenic rout, retrograde and anterograde transport along peripheral nerves are considered as main neuroinvasion mechanisms of SARS-CoV-2. In the present study, we describe the possible routes for entering of SARS-CoV-2 into the nervous system. Then, the neurological manifestations of the SARS-CoV-2 infection in the central nervous system (CNS) and peripheral nervous system (PNS) are reviewed. Furthermore, the neuropathology of the virus and its impacts on other neurological disorders are discussed.",l5z7yq86
"COVID-19, smoking, vaping and quitting: A representative population survey in England",smoking,"Aims: To explore 1) associations between suspected SARS-CoV-2 infection, hand washing, smoking status, e-cigarette use, and nicotine replacement therapy (NRT) use and 2) whether COVID-19 has prompted smoking and vaping quit attempts, and more smoking inside the home. Design: Cross-sectional household surveys of a representative sample of the population in England from April-May 2020. Participants: The sample included 3,285 adults aged [??18 years. Measurements: Participants who reported they definitely or think they had coronavirus were classified as having a suspected SARS-CoV-2 infection. Participants were asked how often they wash their hands after returning home, before eating, before preparing foods or before touching their face. They were also asked whether, due to COVID-19, they had i) attempted to quit smoking, ii) attempted to quit vaping, and iii) changed the amount they smoke inside the home. Findings: Odds of suspected SARS-CoV-2 infection were significantly greater among current smokers (20.9%, adjusted odds ratio [ORadj]=1.34, 95% confidence interval [CI]=1.04-1.73) and long-term (>1-year) ex-smokers (16.1%, ORadj=1.33, 95%CI=1.05-1.68) than never smokers (14.5%). Recent (<1-year) ex-smokers had non-significantly greater odds of suspected infection (22.2%, ORadj=1.50, 95%CI=0.85-2.53, Bayes factor=0.55-1.17). Bayes factors indicated there was sufficient evidence to rule out large differences in suspected SARS-CoV-2 infection by NRT use and medium differences by e-cigarette use. With the exception of hand washing before face touching, engagement in hand washing behaviours was high (>85%) regardless of nicotine use. A minority (12.2%) of past-year smokers who made a quit attempt in the past three months were triggered by COVID-19, and approximately one-in-ten current e-cigarette users reported attempting to quit vaping because of COVID-19. Most people reported smoking the same amount inside the home. Conclusions: In a representative sample of the adult population in England, current smokers and long-term ex-smokers had higher odds of suspected SARS-CoV-2 infection than never smokers, but there were no large differences by NRT or e-cigarette use. In general, engagement in hand washing was high regardless of nicotine or tobacco use. A minority of past-year smokers and current e-cigarette users, respectively, attempted to quit smoking/vaping due to COVID-19.",r6iqiy1n
Current Smoking is Not Associated with COVID-19,smoking,"Despite the main complications of SARS-CoV-2 infection regard lung involvement, the prevalence of current smoking in COVID-19 patients is very low even if one might have anticipated that opposite. Thus, the epidemiological data seem to question the role of coexisting active smoking as a risk factor for COVID-19 pneumonia.",konern28
"Current smoking, former smoking, and adverse outcome among hospitalized COVID-19 patients: a systematic review and meta-analysis",smoking,"Background: The purpose of this study was to examine the prevalence and effects of current smoking on adverse outcomes among hospitalized COVID-19 patients. Methods: A systematic review of the literature (PubMed) identified 18 (from a total of 1398) relevant studies. Pooled current smoking prevalence was compared with the gender-adjusted and gender and age-adjusted, population-based expected prevalence by calculating prevalence odds ratio (POR). The association between current, compared with non-current and former, smoking and adverse outcome was examined. A secondary analysis was performed by including 12 pre-publications (30 studies in total). All analyses were performed using random-effects meta-analysis. Results: Among 6515 patients, the pooled prevalence of current smoking was 6.8% [95% confidence interval (CI): 4.8??.1%]. The gender-adjusted POR was 0.20 (95% CI: 0.16??.25, p &lt; 0.001), and the gender and age-adjusted POR was 0.24 (95% CI: 0.19??.30, p &lt; 0.001). Current smokers were more likely to have an adverse outcome compared with non-current smokers [odds ratio (OR): 1.53, 95%CI: 1.06??.20, p = 0.022] but less likely compared with former smokers (OR: 0.42, 95% CI: 0.27??.74, p = 0.003). When pre-publications were added (n = 10,631), the gender-adjusted POR was 0.27 (95% CI: 0.19??.38, p &lt; 0.001) and the gender and age-adjusted POR was 0.34 (95% CI: 0.24??.48, p &lt; 0.001). Conclusion: This meta-analysis of retrospective observational case series found an unexpectedly low prevalence of current smoking among hospitalized patients with COVID-19. Hospitalized current smokers had higher odds compared with non-current smokers but lower odds compared with former smokers for an adverse outcome. Smoking cannot be considered a protective measure for COVID-19. However, the hypothesis that nicotine may have a protective effect in COVID-19 that is partially masked by smoking-related toxicity and by the abrupt cessation of nicotine intake when smokers are hospitalized should be explored in laboratory studies and clinical trials using pharmaceutical nicotine products.",imgg5ugf
"Prevalence, Severity and Mortality associated with COPD and Smoking in patients with COVID-19: A Rapid Systematic Review and Meta-Analysis",smoking,"Background: Coronavirus disease 2019 (COVID-19) is an evolving infectious disease that dramatically spread all over the world in the early part of 2020. No studies have yet summarised the potential severity and mortality risks caused by COVID-19 in patients with chronic obstructive pulmonary disease (COPD), and we update information in smokers. Methods: We systematically searched electronic databases from inception to March 24, 2020. Data were extracted by two independent authors in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-analyses guidelines. Study quality was assessed using a modified version of the Newcastle Ottawa Scale. We synthesised a narrative from eligible studies and conducted a meta-analysis using a random-effects model to calculate pooled prevalence rates and 95% confidence intervals (95%CI). Results: In total, 123 abstracts were screened and 61 full-text manuscripts were reviewed. A total of 15 studies met the inclusion criteria, which included a total of 2473 confirmed COVID-19 patients. All studies were included in the meta-analysis. The crude case fatality rate of COVID-19 was 6.4%. The pooled prevalence rates of COPD patients and smokers in COVID-19 cases were 2% (95% CI, 1%-3%) and 9% (95% CI, 4%-14%) respectively. COPD patients were at a higher risk of more severe disease (risk of severity = 63%, (22/35) compared to patients without COPD 33.4% (409/1224) [calculated RR, 1.88 (95% CI, 1.4-2.4)]. This was associated with higher mortality (60%). Our results showed that 22% (31/139) of current smokers and 46% (13/28) of ex-smokers had severe complications. The calculated RR showed that current smokers were 1.45 times more likely [95% CI: 1.03-2.04] to have severe complications compared to former and never smokers. Current smokers also had a higher mortality rate of 38.5%. Conclusion: Although COPD prevalence in COVID-19 cases was low in current reports, COVID-19 infection was associated with substantial severity and mortality rates in COPD. Compared to former and never smokers, current smokers were at greater risk of severe complications and higher mortality rate. Effective preventive measures are required to reduce COVID-19 risk in COPD patients and current smokers.",plfjkp5f
Smoking Prevalence is Low in Symptomatic Patients Admitted for COVID-19.,smoking,"There is currently little information regarding the role of active smoking in predisposing to SARS-CoV-2 infection. This retrospective case series includes 441 patients with confirmed Covid-19, who were consecutively admitted between March 5 and March 31, 2020, at a tertiary referral center in Parma, Northern Italy, with laboratory-confirmed COVID-19. 273 (62%) patients were males. Median age was 71 y/o, 156 patients (35%) died during hospitalization and 285 (65%) were discharged because clinically healed. 21 patients (5%) were active smokers and 44 (10%) were ex-smokers, while 376 (85%) were non-smokers. Male sex, history of prior cardiovascular disease, D-dimer and C-reactive protein were significantly more prevalent or higher in the subgroup of 156 patients who died during hospital stay, compared with 285 patients discharged alive. Active smokers were only 21, this number corresponding to less than 5% prevalence of active smokers, which is disproportionately low compared with the 24% prevalence of smokers in the general Italian population (p<0.001). The very low prevalence of smokers in our COVID-19 cohort seemingly replicates the findings that can be extracted from descriptive tables in Chinese reports and also in the recent US reports from New York City. The current study is useful since it suggests that smokers may carry some type of protective mechanism from symptomatic SARS-CoV-2 infection, although this should definitely be confirmed in specifically-designed, controlled studies.",fwq5we2k
Smoking and the risk of COVID-19 in a large observational population study,smoking,"BACKGROUND Smokers are generally more susceptible to infectious respiratory diseases and are at higher risk of developing severe complications from these infections. Conflicting reports exist regarding the impact of smoking on the risk of Coronavirus disease 2019 (COVID-19) infection. METHODS We carried out a population-based study among over 3,000,000 adult members of Clalit Health Services, the largest health provider in Israel. Since the beginning of the disease outbreak, 114,545 individuals underwent RT-PCR testing for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), and 4.0% had positive results. We performed a case-control study among patients who underwent SARS-CoV-2 testing, to assess the impact of smoking on infection incidence and severity. Individuals with positive tests were matched in a 1:5 ratio to individuals tested negative, of the same sex, age, and ethnicity/religion. Conditional logistic regressions were performed to evaluate odds ratios for current and previous smoking on the risk of testing positive. Multivariable logistic regressions were performed among patients infected with COVID-19 to estimate the association between smoking and fatal or severe disease requiring ventilation. Regressions were performed with and without adjustment for preexisting medical conditions. RESULTS In the matched cohort, current smokers (9.8%) were significantly less prevalent among members tested positive compared to the general population, and to matched members tested negative (19.4%, P<0.001). Current smoking was associated with significantly reduced odds ratio (OR) for testing positive OR=0.457 (95% confidence interval (CI) 0.407-0.514). Among patients tested positive, there was no evidence of significantly increased risk of developing severe or fatal disease. CONCLUSION The risk of infection by COVID-19 appears to be reduced by half among current smokers. This intriguing finding may reveal unique infection mechanisms present for COVID-19 which may be targeted to combat the disease and reduce its infection rate.",lbxg93hl
Smoking increases the risk of infectious diseases: A narrative review,smoking,"Smoking is relevant to infectious diseases resulting in increased prevalence and mortality. In this article, we aim to provide an overview of the effects of smoking in various infections and to explain the potential mechanisms. We searched PubMed and other relevant databases for scientific studies that explored the relationship between smoking and infection. The mechanisms of susceptibility to infection in smokers may include alteration of the structural, functional and immunologic host defences. Smoking is one of the main risk factors for infections in the respiratory tract, digestive tract, reproductive tract, and other systems in humans, increasing the prevalence of HIV, tuberculosis, SARS-CoV, and the current SARS-CoV-2. Smoking cessation can reduce the risk of infection. Smoking increases the incidence of infections and aggravates the progress and prognosis of infectious diseases in a dose-dependent manner. Smoking cessation promotion and education are the most practical and economical preventive measures to reduce aggravation of disease infection owing to tobacco use.",v0bd9ls0
Smoking is Associated with COVID-19 Progression: A Meta-Analysis,smoking,"Objective: To determine the association between smoking and progression of COVID-19. Design: A meta-analysis of 12 published papers. Data Source: PubMed database was searched on April 6, 2020. Eligibility criteria and data analysis: We included studies reporting smoking behavior of COVID-19 patients and progression of disease. Search terms included smoking, smoker*, characteristics, risk factors, outcomes, and COVID-19, COVID, coronavirus, sar cov-2, sar cov 2. There were no language limitations. One author extracted information for each study, screened the abstract or the full text, with questions resolved through discussion among both authors. A random effects meta-analysis was applied. Main Outcome Measures: The study outcome was progression of COVID-19 among people who already had the disease. Results: We identified 12 papers with a total of 9,025 COVID-19 patients, 878 (9.7%) with severe disease and 495 with a history of smoking (5.5%). The meta-analysis showed a significant association between smoking and progression of COVID-19 (OR 2.25, 95% CI 1.49-3.39, p=0.001). Limitations in the 12 papers suggest that the actual risk of smoking may be higher. Conclusions: Smoking is a risk factor for progression of COVID-19, with smokers having higher odds of COVID-19 progression than never smokers. Physicians and public health professionals should collect data on smoking as part of clinical management and add smoking cessation to the list of practices to blunt the COVID-19 pandemic.",ws0s2qk1
Systematic review of the prevalence of current smoking among hospitalized COVID-19 patients in China: could nicotine be a therapeutic option?,smoking,"The effects of smoking on Corona Virus Disease 2019 (COVID-19) are currently unknown. The purpose of this study was to systematically examine the prevalence of current smoking among hospitalized patients with COVID-19 in China, considering the high-population smoking prevalence in China (26.6%). A systematic review of the literature (PubMed) was performed on April 1. Thirteen studies examining the clinical characteristics of hospitalized COVID-19 patients in China and presenting data on the smoking status were found. The pooled prevalence of current smoking from all studies was calculated by random-effect meta-analysis. To address the possibility that some smokers had quit shortly before hospitalization and were classified as former smokers on admission to the hospital, we performed a secondary analysis in which all former smokers were classified as current smokers. A total of 5960 patients were included in the studies identified. The current smoking prevalence ranged from 1.4% (95% CI 0.0-3.4%) to 12.6% (95% CI 10.6-14.6%). An unusually low prevalence of current smoking was observed from the pooled analysis (6.5%, 95% CI 4.9-8.2%) as compared to population smoking prevalence in China. The secondary analysis, classifying former smokers as current smokers, found a pooled estimate of 7.3% (95% CI 5.7-8.9%). In conclusion, an unexpectedly low prevalence of current smoking was observed among patients with COVID-19 in China, which was approximately 1/4th the population smoking prevalence. Although the generalized advice to quit smoking as a measure to reduce health risk remains valid, the findings, together with the well-established immunomodulatory effects of nicotine, suggest that pharmaceutical nicotine should be considered as a potential treatment option in COVID-19.",3518392r
The double-edged relationship between COVID-19 stress and smoking: Implications for smoking cessation,smoking,"INTRODUCTION: Although recent research shows that smokers respond differently to the COVID-19 pandemic, it offers little explanation of why some have increased their smoking, while others decreased it In this study, we examined a possible explanation for these different responses: pandemic-related stress METHODS: We conducted an online survey among a representative sample of Dutch current smokers from 11-18 May 2020 (n=957) During that period, COVID-19 was six weeks past the (initial) peak of cases and deaths in the Netherlands Included in the survey were measures of how the COVID-19 pandemic had changed their smoking, if at all (no change, increased smoking, decreased smoking), and a measure of stress due to COVID-19 RESULTS: Overall, while 14 1% of smokers reported smoking less due to the COVID-19 pandemic, 18 9% of smokers reported smoking more A multinomial logistic regression analysis revealed that there was a dose-response effect of stress: smokers who were somewhat stressed were more likely to have either increased (OR=2 37;95% CI: 1 49-3 78) or reduced (OR=1 80;95% CI: 1 07-3 05) their smoking Severely stressed smokers were even more likely to have either increased (OR=3 75;95% CI: 1 84-7 64) or reduced (OR=3 97;95% CI: 1 70-9 28) their smoking Thus, stress was associated with both increased and reduced smoking, independently from perceived difficulty of quitting and level of motivation to quit CONCLUSIONS: Stress related to the COVID-19 pandemic appears to affect smokers in different ways, some smokers increase their smoking while others decrease it While boredom and restrictions in movement might have stimulated smoking, the threat of contracting COVID-19 and becoming severely ill might have motivated others to improve their health by quitting smoking These data highlight the importance of providing greater resources for cessation services and the importance of creating public campaigns to enhance cessation in this dramatic time",3ziuc7os
"Underlying respiratory diseases, specifically COPD, and smoking are associated with severe COVID-19 outcomes: A systematic review and meta-analysis",smoking,"BACKGROUND: An outbreak of Corona Virus Disease 2019 (COVID-19) has spread rapidly reaching over 3 million of confirmed cases worldwide. The association of respiratory diseases and smoking, both highly prevalent globally, with COVID-19 severity has not been elucidated. Given the gap in the evidence and the growing prevalence of COVID-19, the objective of this study was to explore the association of underlying respiratory diseases and smoking with severe outcomes in patients with COVID-19 infection. METHODS: A systematic search was performed to identify studies reporting prevalence of respiratory diseases and/or smoking in relation with disease severity in patients with confirm COVID-19, published between January 1 to April 15, 2020 in English language. Pooled odds-ratio (OR) and 95% confidence intervals (95% CI) were calculated. FINDINGS: Twenty two studies met the inclusion criteria. All the studies presented data of 13,184 COVID-19 patients (55% males). Patients with severe outcomes were older and a larger percentage were males compared with the non-severe. Pooled analysis showed that prevalence of respiratory diseases (OR 4.21; 95% CI, 2.9-6.0) and smoking (current smoking OR 1.98; 95% CI, 1.16-3.39 and former smoking OR 3.46; 95% CI, 2.46-4.85) were significantly associated with severe COVID-19 outcomes. INTERPRETATION: Results suggested that underlying respiratory diseases, specifically COPD, and smoking were associated with severe COVID-19 outcomes. These findings may support the planning of preventive interventions and could contribute to improvements in the assessment and management of patient risk factors in clinical practice, leading to the mitigation of severe outcomes in patients with COVID-19 infection.",6sezttoj
